t,cum_loss_algo,cum_loss_bfph,cum_regret,sqrt_t_bound_c1
1,-0.014532233613295024,-0.0010174451136880115,-0.013514788499607014,1.0
2,-0.023536754871294654,-0.0024705035986524685,-0.021066251272642188,1.4142135623730951
3,-0.03180410675395458,-0.004775636998922661,-0.02702846975503192,1.7320508075688772
4,-0.046776387808949264,-0.007936721646519799,-0.03883966616242947,2.0
5,-0.053492731456065874,-0.007335547161668145,-0.04615718429439773,2.23606797749979
6,-0.061564319403502224,-0.009625704720524262,-0.05193861468297796,2.449489742783178
7,-0.06398508548043856,-0.00188385027777663,-0.062101235202661934,2.6457513110645907
8,-0.06703986014138073,-0.002369012624260442,-0.0646708475171203,2.8284271247461903
9,-0.07934247895001975,-0.005792748114808979,-0.07354973083521077,3.0
10,-0.09406731597665821,-0.0029024559487999093,-0.0911648600278583,3.1622776601683795
11,-0.10118414294948302,-0.0027954036141623886,-0.09838873933532064,3.3166247903554
12,-0.11309062243064212,-0.006212088552198982,-0.10687853387844314,3.4641016151377544
13,-0.11992971335527314,-0.007627132979360014,-0.11230258037591312,3.605551275463989
14,-0.12822906311874682,-0.005037651197562233,-0.12319141192118459,3.7416573867739413
15,-0.14796506175651694,-0.005474279113188825,-0.14249078264332812,3.872983346207417
16,-0.1579069718617239,-0.005693172804314912,-0.15221379905740898,4.0
17,-0.17703606879071987,-0.006063584905133748,-0.1709724838855861,4.123105625617661
18,-0.19264860558996338,-0.007144927301907836,-0.18550367828805556,4.242640687119285
19,-0.20336453015494071,-0.010598492951377521,-0.1927660372035632,4.358898943540674
20,-0.20845227628558433,-0.007839536237040416,-0.2006127400485439,4.47213595499958
21,-0.21995828338101814,-0.004765405575397954,-0.2151928778056202,4.58257569495584
22,-0.23367174996650533,-0.00407528562614926,-0.22959646434035608,4.69041575982343
23,-0.23718902950131107,-0.004194269748024525,-0.23299475975328654,4.795831523312719
24,-0.2433016435316299,-0.00011390356770473245,-0.24318773996392515,4.898979485566356
25,-0.24770200969381165,0.0,-0.24770200969381165,5.0
26,-0.25554214022729277,-0.0020595783657662353,-0.2534825618615265,5.0990195135927845
27,-0.2670359793330413,-0.004383225191586025,-0.2626527541414553,5.196152422706632
28,-0.27541033410810145,-0.0031370366248738707,-0.2722732974832276,5.291502622129181
29,-0.2873283957795933,-0.004798232431723797,-0.2825301633478695,5.385164807134504
30,-0.29191763519175223,-0.0023712250034695764,-0.28954641018828264,5.477225575051661
31,-0.2995370412494942,-0.0050969419046949915,-0.2944400993447992,5.5677643628300215
32,-0.303078055729102,-0.0035871080658963074,-0.2994909476632057,5.656854249492381
33,-0.31163985593986326,0.0,-0.31163985593986326,5.744562646538029
34,-0.32053775723065053,-0.0008238574139326023,-0.31971389981671794,5.830951894845301
35,-0.3298841626651711,-0.0007487236602096161,-0.3291354390049615,5.916079783099616
36,-0.3445261896105378,0.0,-0.3445261896105378,6.0
37,-0.34958004306530865,0.0,-0.34958004306530865,6.082762530298219
38,-0.36694263458656634,0.0,-0.36694263458656634,6.164414002968976
39,-0.3777863943399969,-0.001718173196234288,-0.3760682211437626,6.244997998398398
40,-0.3940299483712388,0.0,-0.3940299483712388,6.324555320336759
41,-0.40454739612649016,0.0,-0.40454739612649016,6.4031242374328485
42,-0.4093741329258823,0.0,-0.4093741329258823,6.48074069840786
43,-0.418483401411291,0.0,-0.418483401411291,6.557438524302
44,-0.42701553790903346,0.0,-0.42701553790903346,6.6332495807108
45,-0.4449309939146314,0.0,-0.4449309939146314,6.708203932499369
46,-0.45101535119227865,0.0,-0.45101535119227865,6.782329983125268
47,-0.45801257974723397,0.0,-0.45801257974723397,6.855654600401044
48,-0.4655428717861985,0.0,-0.4655428717861985,6.928203230275509
49,-0.4813093467129098,0.0,-0.4813093467129098,7.0
50,-0.4923200597474961,0.0,-0.4923200597474961,7.0710678118654755
51,-0.49807693268143166,0.0,-0.49807693268143166,7.14142842854285
52,-0.5083874062510858,0.0,-0.5083874062510858,7.211102550927978
53,-0.514830784685648,0.0,-0.514830784685648,7.280109889280518
54,-0.5304335961169155,0.0,-0.5304335961169155,7.3484692283495345
55,-0.539719627046576,0.0,-0.539719627046576,7.416198487095663
56,-0.5459874301464177,0.0,-0.5459874301464177,7.483314773547883
57,-0.5495344219475881,0.0,-0.5495344219475881,7.54983443527075
58,-0.5549049879982573,0.0,-0.5549049879982573,7.615773105863909
59,-0.5617818128045192,0.0,-0.5617818128045192,7.681145747868608
60,-0.5685923594814504,0.0,-0.5685923594814504,7.745966692414834
61,-0.5736757248982797,0.0,-0.5736757248982797,7.810249675906654
62,-0.579622433129018,0.0,-0.579622433129018,7.874007874011811
63,-0.5931387428246996,0.0,-0.5931387428246996,7.937253933193772
64,-0.6026048341282737,0.0,-0.6026048341282737,8.0
65,-0.6147017477009388,0.0,-0.6147017477009388,8.06225774829855
66,-0.6228254614028788,0.0,-0.6228254614028788,8.12403840463596
67,-0.6370804695479089,0.0,-0.6370804695479089,8.18535277187245
68,-0.646926542883464,0.0,-0.646926542883464,8.246211251235321
69,-0.6536517947751365,0.0,-0.6536517947751365,8.306623862918075
70,-0.6651175031521896,0.0,-0.6651175031521896,8.366600265340756
71,-0.6725199640046716,0.0,-0.6725199640046716,8.426149773176359
72,-0.6790301884983981,0.0,-0.6790301884983981,8.48528137423857
73,-0.6923705174016942,0.0,-0.6923705174016942,8.54400374531753
74,-0.6984683198285663,0.0,-0.6984683198285663,8.602325267042627
75,-0.7051220873231465,0.0,-0.7051220873231465,8.660254037844387
76,-0.7155689915862604,0.0,-0.7155689915862604,8.717797887081348
77,-0.7291241445954569,0.0,-0.7291241445954569,8.774964387392123
78,-0.7378542828200586,0.0,-0.7378542828200586,8.831760866327848
79,-0.7541548944276414,0.0,-0.7541548944276414,8.888194417315589
80,-0.7567629094496062,0.0,-0.7567629094496062,8.94427190999916
81,-0.764423462417608,0.0,-0.764423462417608,9.0
82,-0.7724127908605581,0.0,-0.7724127908605581,9.055385138137417
83,-0.7792319842307746,0.0,-0.7792319842307746,9.1104335791443
84,-0.7838833142452298,0.0,-0.7838833142452298,9.16515138991168
85,-0.7931936805552793,0.0,-0.7931936805552793,9.219544457292887
86,-0.7998929233067461,0.0,-0.7998929233067461,9.273618495495704
87,-0.8030235742540285,0.0,-0.8030235742540285,9.327379053088816
88,-0.8120102471722986,0.0,-0.8120102471722986,9.38083151964686
89,-0.8294257470616904,0.0,-0.8294257470616904,9.433981132056603
90,-0.8392367968972699,0.0,-0.8392367968972699,9.486832980505138
91,-0.8438247537689081,0.0,-0.8438247537689081,9.539392014169456
92,-0.8500209050255276,0.0,-0.8500209050255276,9.591663046625438
93,-0.8699532775892949,0.0,-0.8699532775892949,9.643650760992955
94,-0.8765487779848913,0.0,-0.8765487779848913,9.695359714832659
95,-0.8789564818530069,0.0,-0.8789564818530069,9.746794344808963
96,-0.8882479949275177,0.0,-0.8882479949275177,9.797958971132712
97,-0.8956849228164644,0.0,-0.8956849228164644,9.848857801796104
98,-0.9039897672721976,0.0,-0.9039897672721976,9.899494936611665
99,-0.907740894271746,0.0,-0.907740894271746,9.9498743710662
100,-0.9146290896686107,0.0,-0.9146290896686107,10.0
101,-0.9203722120031248,0.0,-0.9203722120031248,10.04987562112089
102,-0.9265592078392262,0.0,-0.9265592078392262,10.099504938362077
103,-0.9407064862831073,0.0,-0.9407064862831073,10.14889156509222
104,-0.951938638556413,0.0,-0.951938638556413,10.198039027185569
105,-0.9523647069367859,0.0,-0.9523647069367859,10.246950765959598
106,-0.9569958286839679,0.0,-0.9569958286839679,10.295630140987
107,-0.9679456879671912,0.0,-0.9679456879671912,10.344080432788601
108,-0.9763996820021735,0.0,-0.9763996820021735,10.392304845413264
109,-1.004312741632927,0.0,-1.004312741632927,10.44030650891055
110,-1.0141758501086315,0.0,-1.0141758501086315,10.488088481701515
111,-1.0294594466880131,0.0,-1.0294594466880131,10.535653752852738
112,-1.036704610741567,0.0,-1.036704610741567,10.583005244258363
113,-1.0480999988195245,0.0,-1.0480999988195245,10.63014581273465
114,-1.0559190945592283,0.0,-1.0559190945592283,10.677078252031311
115,-1.068602632951796,0.0,-1.068602632951796,10.723805294763608
